LINE, BASELINE, ASCENDER, DESCENDER
0, 0.4547349, 0.5, 0.4441477
1, 0.3972349, 0.4425, 0.3866477
2, 0.3397349, 0.385, 0.3291478
3, 0.2822348, 0.3275, 0.2716478
4, 0.2247349, 0.27, 0.2141477
5, 0.1672349, 0.2125, 0.1566477
6, 0.1097349, 0.155, 0.09914774
7, 0.05223486, 0.09750003, 0.04164773
8, -0.005265146, 0.04000002, -0.01585227
9, -0.06276518, -0.01750004, -0.07335228
10, -0.1202652, -0.07500005, -0.1308523
11, -0.1777652, -0.1325001, -0.1883523
12, -0.2352652, -0.1900001, -0.2458523
13, -0.2927652, -0.2475001, -0.3033523
14, -0.3502652, -0.3050001, -0.3608523
15, -0.4077652, -0.3625001, -0.4183523
16, -0.4652652, -0.4200001, -0.4758523
0, 0.4773674, 0.5, 0.4720739
1, 0.4486174, 0.47125, 0.4433239
2, 0.4198674, 0.4425, 0.4145739
3, 0.3911174, 0.41375, 0.3858239
4, 0.3623674, 0.385, 0.3570739
5, 0.3336174, 0.35625, 0.3283239
6, 0.3048674, 0.3275, 0.2995739
7, 0.2761174, 0.29875, 0.2708239
8, 0.2473674, 0.27, 0.2420739
9, 0.2186174, 0.24125, 0.2133239
10, 0.1898674, 0.2125, 0.1845739
11, 0.1611174, 0.18375, 0.1558239
12, 0.1323674, 0.155, 0.1270739
13, 0.1036174, 0.12625, 0.09832385
14, 0.0748674, 0.09749997, 0.06957385
15, 0.0461174, 0.06874996, 0.04082385
16, 0.01736739, 0.03999996, 0.01207384

